,State,Data Element,Date,Value,Frequency,Region,Description
287,West Virginia,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
288,District of Columbia,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
289,Delaware,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
290,Florida,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
291,Georgia,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
292,Maryland,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
293,North Carolina,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
294,South Carolina,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
295,Virginia,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
296,West Virginia,Consumer Price Index,2021-09-01,5.6,Monthly,South Atlantic,Consumer Price Index
297,District of Columbia,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
298,Delaware,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
299,Florida,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
300,Georgia,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
301,Maryland,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
302,North Carolina,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
303,South Carolina,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
304,Virginia,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
305,West Virginia,Consumer Price Index,2021-10-01,6.5,Monthly,South Atlantic,Consumer Price Index
306,District of Columbia,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
307,Delaware,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
308,Florida,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
309,Georgia,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
310,Maryland,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
311,North Carolina,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
312,South Carolina,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
313,Virginia,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
314,West Virginia,Consumer Price Index,2021-11-01,7.0,Monthly,South Atlantic,Consumer Price Index
315,Arizona,Consumer Price Index,2019-01-01,2.3,Monthly,Mountain,Consumer Price Index
316,Colorado,Consumer Price Index,2019-01-01,2.3,Monthly,Mountain,Consumer Price Index
317,Idaho,Consumer Price Index,2019-01-01,2.3,Monthly,Mountain,Consumer Price Index
318,Montana,Consumer Price Index,2019-01-01,2.3,Monthly,Mountain,Consumer Price Index
319,New Mexico,Consumer Price Index,2019-01-01,2.3,Monthly,Mountain,Consumer Price Index
320,Nevada,Consumer Price Index,2019-01-01,2.3,Monthly,Mountain,Consumer Price Index
321,Utah,Consumer Price Index,2019-01-01,2.3,Monthly,Mountain,Consumer Price Index
322,Wyoming,Consumer Price Index,2019-01-01,2.3,Monthly,Mountain,Consumer Price Index
323,Arizona,Consumer Price Index,2019-02-01,1.8,Monthly,Mountain,Consumer Price Index
324,Colorado,Consumer Price Index,2019-02-01,1.8,Monthly,Mountain,Consumer Price Index
325,Idaho,Consumer Price Index,2019-02-01,1.8,Monthly,Mountain,Consumer Price Index
326,Montana,Consumer Price Index,2019-02-01,1.8,Monthly,Mountain,Consumer Price Index
327,New Mexico,Consumer Price Index,2019-02-01,1.8,Monthly,Mountain,Consumer Price Index
328,Nevada,Consumer Price Index,2019-02-01,1.8,Monthly,Mountain,Consumer Price Index
329,Utah,Consumer Price Index,2019-02-01,1.8,Monthly,Mountain,Consumer Price Index
330,Wyoming,Consumer Price Index,2019-02-01,1.8,Monthly,Mountain,Consumer Price Index
331,Arizona,Consumer Price Index,2019-03-01,2.1,Monthly,Mountain,Consumer Price Index
332,Colorado,Consumer Price Index,2019-03-01,2.1,Monthly,Mountain,Consumer Price Index
333,Idaho,Consumer Price Index,2019-03-01,2.1,Monthly,Mountain,Consumer Price Index
334,Montana,Consumer Price Index,2019-03-01,2.1,Monthly,Mountain,Consumer Price Index
335,New Mexico,Consumer Price Index,2019-03-01,2.1,Monthly,Mountain,Consumer Price Index
336,Nevada,Consumer Price Index,2019-03-01,2.1,Monthly,Mountain,Consumer Price Index
337,Utah,Consumer Price Index,2019-03-01,2.1,Monthly,Mountain,Consumer Price Index
338,Wyoming,Consumer Price Index,2019-03-01,2.1,Monthly,Mountain,Consumer Price Index
339,Arizona,Consumer Price Index,2019-04-01,2.2,Monthly,Mountain,Consumer Price Index
340,Colorado,Consumer Price Index,2019-04-01,2.2,Monthly,Mountain,Consumer Price Index
341,Idaho,Consumer Price Index,2019-04-01,2.2,Monthly,Mountain,Consumer Price Index
342,Montana,Consumer Price Index,2019-04-01,2.2,Monthly,Mountain,Consumer Price Index
343,New Mexico,Consumer Price Index,2019-04-01,2.2,Monthly,Mountain,Consumer Price Index
344,Nevada,Consumer Price Index,2019-04-01,2.2,Monthly,Mountain,Consumer Price Index
345,Utah,Consumer Price Index,2019-04-01,2.2,Monthly,Mountain,Consumer Price Index
346,Wyoming,Consumer Price Index,2019-04-01,2.2,Monthly,Mountain,Consumer Price Index
347,Arizona,Consumer Price Index,2019-05-01,2.5,Monthly,Mountain,Consumer Price Index
348,Colorado,Consumer Price Index,2019-05-01,2.5,Monthly,Mountain,Consumer Price Index
349,Idaho,Consumer Price Index,2019-05-01,2.5,Monthly,Mountain,Consumer Price Index
350,Montana,Consumer Price Index,2019-05-01,2.5,Monthly,Mountain,Consumer Price Index
351,New Mexico,Consumer Price Index,2019-05-01,2.5,Monthly,Mountain,Consumer Price Index
352,Nevada,Consumer Price Index,2019-05-01,2.5,Monthly,Mountain,Consumer Price Index
353,Utah,Consumer Price Index,2019-05-01,2.5,Monthly,Mountain,Consumer Price Index
354,Wyoming,Consumer Price Index,2019-05-01,2.5,Monthly,Mountain,Consumer Price Index
355,Arizona,Consumer Price Index,2019-06-01,2.5,Monthly,Mountain,Consumer Price Index
356,Colorado,Consumer Price Index,2019-06-01,2.5,Monthly,Mountain,Consumer Price Index
357,Idaho,Consumer Price Index,2019-06-01,2.5,Monthly,Mountain,Consumer Price Index
358,Montana,Consumer Price Index,2019-06-01,2.5,Monthly,Mountain,Consumer Price Index
359,New Mexico,Consumer Price Index,2019-06-01,2.5,Monthly,Mountain,Consumer Price Index
360,Nevada,Consumer Price Index,2019-06-01,2.5,Monthly,Mountain,Consumer Price Index
361,Utah,Consumer Price Index,2019-06-01,2.5,Monthly,Mountain,Consumer Price Index
362,Wyoming,Consumer Price Index,2019-06-01,2.5,Monthly,Mountain,Consumer Price Index
363,Arizona,Consumer Price Index,2019-07-01,2.6,Monthly,Mountain,Consumer Price Index
364,Colorado,Consumer Price Index,2019-07-01,2.6,Monthly,Mountain,Consumer Price Index
365,Idaho,Consumer Price Index,2019-07-01,2.6,Monthly,Mountain,Consumer Price Index
366,Montana,Consumer Price Index,2019-07-01,2.6,Monthly,Mountain,Consumer Price Index
367,New Mexico,Consumer Price Index,2019-07-01,2.6,Monthly,Mountain,Consumer Price Index
368,Nevada,Consumer Price Index,2019-07-01,2.6,Monthly,Mountain,Consumer Price Index
369,Utah,Consumer Price Index,2019-07-01,2.6,Monthly,Mountain,Consumer Price Index
370,Wyoming,Consumer Price Index,2019-07-01,2.6,Monthly,Mountain,Consumer Price Index
371,Arizona,Consumer Price Index,2019-08-01,2.9,Monthly,Mountain,Consumer Price Index
372,Colorado,Consumer Price Index,2019-08-01,2.9,Monthly,Mountain,Consumer Price Index
373,Idaho,Consumer Price Index,2019-08-01,2.9,Monthly,Mountain,Consumer Price Index
374,Montana,Consumer Price Index,2019-08-01,2.9,Monthly,Mountain,Consumer Price Index
375,New Mexico,Consumer Price Index,2019-08-01,2.9,Monthly,Mountain,Consumer Price Index
376,Nevada,Consumer Price Index,2019-08-01,2.9,Monthly,Mountain,Consumer Price Index
377,Utah,Consumer Price Index,2019-08-01,2.9,Monthly,Mountain,Consumer Price Index
378,Wyoming,Consumer Price Index,2019-08-01,2.9,Monthly,Mountain,Consumer Price Index
379,Arizona,Consumer Price Index,2019-09-01,2.9,Monthly,Mountain,Consumer Price Index
380,Colorado,Consumer Price Index,2019-09-01,2.9,Monthly,Mountain,Consumer Price Index
381,Idaho,Consumer Price Index,2019-09-01,2.9,Monthly,Mountain,Consumer Price Index
382,Montana,Consumer Price Index,2019-09-01,2.9,Monthly,Mountain,Consumer Price Index
383,New Mexico,Consumer Price Index,2019-09-01,2.9,Monthly,Mountain,Consumer Price Index
384,Nevada,Consumer Price Index,2019-09-01,2.9,Monthly,Mountain,Consumer Price Index
385,Utah,Consumer Price Index,2019-09-01,2.9,Monthly,Mountain,Consumer Price Index
386,Wyoming,Consumer Price Index,2019-09-01,2.9,Monthly,Mountain,Consumer Price Index
387,Arizona,Consumer Price Index,2019-10-01,3.2,Monthly,Mountain,Consumer Price Index
388,Colorado,Consumer Price Index,2019-10-01,3.2,Monthly,Mountain,Consumer Price Index
389,Idaho,Consumer Price Index,2019-10-01,3.2,Monthly,Mountain,Consumer Price Index
390,Montana,Consumer Price Index,2019-10-01,3.2,Monthly,Mountain,Consumer Price Index
391,New Mexico,Consumer Price Index,2019-10-01,3.2,Monthly,Mountain,Consumer Price Index
392,Nevada,Consumer Price Index,2019-10-01,3.2,Monthly,Mountain,Consumer Price Index
393,Utah,Consumer Price Index,2019-10-01,3.2,Monthly,Mountain,Consumer Price Index
394,Wyoming,Consumer Price Index,2019-10-01,3.2,Monthly,Mountain,Consumer Price Index
395,Arizona,Consumer Price Index,2019-11-01,3.2,Monthly,Mountain,Consumer Price Index
396,Colorado,Consumer Price Index,2019-11-01,3.2,Monthly,Mountain,Consumer Price Index
397,Idaho,Consumer Price Index,2019-11-01,3.2,Monthly,Mountain,Consumer Price Index
398,Montana,Consumer Price Index,2019-11-01,3.2,Monthly,Mountain,Consumer Price Index
399,New Mexico,Consumer Price Index,2019-11-01,3.2,Monthly,Mountain,Consumer Price Index
400,Nevada,Consumer Price Index,2019-11-01,3.2,Monthly,Mountain,Consumer Price Index
401,Utah,Consumer Price Index,2019-11-01,3.2,Monthly,Mountain,Consumer Price Index
402,Wyoming,Consumer Price Index,2019-11-01,3.2,Monthly,Mountain,Consumer Price Index
403,Arizona,Consumer Price Index,2019-12-01,3.3,Monthly,Mountain,Consumer Price Index
404,Colorado,Consumer Price Index,2019-12-01,3.3,Monthly,Mountain,Consumer Price Index
405,Idaho,Consumer Price Index,2019-12-01,3.3,Monthly,Mountain,Consumer Price Index
406,Montana,Consumer Price Index,2019-12-01,3.3,Monthly,Mountain,Consumer Price Index
407,New Mexico,Consumer Price Index,2019-12-01,3.3,Monthly,Mountain,Consumer Price Index
408,Nevada,Consumer Price Index,2019-12-01,3.3,Monthly,Mountain,Consumer Price Index
409,Utah,Consumer Price Index,2019-12-01,3.3,Monthly,Mountain,Consumer Price Index
410,Wyoming,Consumer Price Index,2019-12-01,3.3,Monthly,Mountain,Consumer Price Index
411,Arizona,Consumer Price Index,2020-01-01,3.8,Monthly,Mountain,Consumer Price Index
412,Colorado,Consumer Price Index,2020-01-01,3.8,Monthly,Mountain,Consumer Price Index
413,Idaho,Consumer Price Index,2020-01-01,3.8,Monthly,Mountain,Consumer Price Index
414,Montana,Consumer Price Index,2020-01-01,3.8,Monthly,Mountain,Consumer Price Index
415,New Mexico,Consumer Price Index,2020-01-01,3.8,Monthly,Mountain,Consumer Price Index
416,Nevada,Consumer Price Index,2020-01-01,3.8,Monthly,Mountain,Consumer Price Index
417,Utah,Consumer Price Index,2020-01-01,3.8,Monthly,Mountain,Consumer Price Index
418,Wyoming,Consumer Price Index,2020-01-01,3.8,Monthly,Mountain,Consumer Price Index
419,Arizona,Consumer Price Index,2020-02-01,4.0,Monthly,Mountain,Consumer Price Index
420,Colorado,Consumer Price Index,2020-02-01,4.0,Monthly,Mountain,Consumer Price Index
421,Idaho,Consumer Price Index,2020-02-01,4.0,Monthly,Mountain,Consumer Price Index
422,Montana,Consumer Price Index,2020-02-01,4.0,Monthly,Mountain,Consumer Price Index
423,New Mexico,Consumer Price Index,2020-02-01,4.0,Monthly,Mountain,Consumer Price Index
424,Nevada,Consumer Price Index,2020-02-01,4.0,Monthly,Mountain,Consumer Price Index
425,Utah,Consumer Price Index,2020-02-01,4.0,Monthly,Mountain,Consumer Price Index
426,Wyoming,Consumer Price Index,2020-02-01,4.0,Monthly,Mountain,Consumer Price Index
427,Arizona,Consumer Price Index,2020-03-01,3.2,Monthly,Mountain,Consumer Price Index
428,Colorado,Consumer Price Index,2020-03-01,3.2,Monthly,Mountain,Consumer Price Index
429,Idaho,Consumer Price Index,2020-03-01,3.2,Monthly,Mountain,Consumer Price Index
430,Montana,Consumer Price Index,2020-03-01,3.2,Monthly,Mountain,Consumer Price Index
431,New Mexico,Consumer Price Index,2020-03-01,3.2,Monthly,Mountain,Consumer Price Index
432,Nevada,Consumer Price Index,2020-03-01,3.2,Monthly,Mountain,Consumer Price Index
433,Utah,Consumer Price Index,2020-03-01,3.2,Monthly,Mountain,Consumer Price Index
434,Wyoming,Consumer Price Index,2020-03-01,3.2,Monthly,Mountain,Consumer Price Index
435,Arizona,Consumer Price Index,2020-04-01,2.1,Monthly,Mountain,Consumer Price Index
436,Colorado,Consumer Price Index,2020-04-01,2.1,Monthly,Mountain,Consumer Price Index
437,Idaho,Consumer Price Index,2020-04-01,2.1,Monthly,Mountain,Consumer Price Index
438,Montana,Consumer Price Index,2020-04-01,2.1,Monthly,Mountain,Consumer Price Index
439,New Mexico,Consumer Price Index,2020-04-01,2.1,Monthly,Mountain,Consumer Price Index
440,Nevada,Consumer Price Index,2020-04-01,2.1,Monthly,Mountain,Consumer Price Index
441,Utah,Consumer Price Index,2020-04-01,2.1,Monthly,Mountain,Consumer Price Index
442,Wyoming,Consumer Price Index,2020-04-01,2.1,Monthly,Mountain,Consumer Price Index
443,Arizona,Consumer Price Index,2020-05-01,1.3,Monthly,Mountain,Consumer Price Index
444,Colorado,Consumer Price Index,2020-05-01,1.3,Monthly,Mountain,Consumer Price Index
445,Idaho,Consumer Price Index,2020-05-01,1.3,Monthly,Mountain,Consumer Price Index
446,Montana,Consumer Price Index,2020-05-01,1.3,Monthly,Mountain,Consumer Price Index
447,New Mexico,Consumer Price Index,2020-05-01,1.3,Monthly,Mountain,Consumer Price Index
448,Nevada,Consumer Price Index,2020-05-01,1.3,Monthly,Mountain,Consumer Price Index
449,Utah,Consumer Price Index,2020-05-01,1.3,Monthly,Mountain,Consumer Price Index
450,Wyoming,Consumer Price Index,2020-05-01,1.3,Monthly,Mountain,Consumer Price Index
451,Arizona,Consumer Price Index,2020-06-01,2.0,Monthly,Mountain,Consumer Price Index
452,Colorado,Consumer Price Index,2020-06-01,2.0,Monthly,Mountain,Consumer Price Index
453,Idaho,Consumer Price Index,2020-06-01,2.0,Monthly,Mountain,Consumer Price Index
454,Montana,Consumer Price Index,2020-06-01,2.0,Monthly,Mountain,Consumer Price Index
455,New Mexico,Consumer Price Index,2020-06-01,2.0,Monthly,Mountain,Consumer Price Index
456,Nevada,Consumer Price Index,2020-06-01,2.0,Monthly,Mountain,Consumer Price Index
457,Utah,Consumer Price Index,2020-06-01,2.0,Monthly,Mountain,Consumer Price Index
458,Wyoming,Consumer Price Index,2020-06-01,2.0,Monthly,Mountain,Consumer Price Index
459,Arizona,Consumer Price Index,2020-07-01,2.4,Monthly,Mountain,Consumer Price Index
460,Colorado,Consumer Price Index,2020-07-01,2.4,Monthly,Mountain,Consumer Price Index
461,Idaho,Consumer Price Index,2020-07-01,2.4,Monthly,Mountain,Consumer Price Index
462,Montana,Consumer Price Index,2020-07-01,2.4,Monthly,Mountain,Consumer Price Index
463,New Mexico,Consumer Price Index,2020-07-01,2.4,Monthly,Mountain,Consumer Price Index
464,Nevada,Consumer Price Index,2020-07-01,2.4,Monthly,Mountain,Consumer Price Index
465,Utah,Consumer Price Index,2020-07-01,2.4,Monthly,Mountain,Consumer Price Index
466,Wyoming,Consumer Price Index,2020-07-01,2.4,Monthly,Mountain,Consumer Price Index
467,Arizona,Consumer Price Index,2020-08-01,2.1,Monthly,Mountain,Consumer Price Index
468,Colorado,Consumer Price Index,2020-08-01,2.1,Monthly,Mountain,Consumer Price Index
469,Idaho,Consumer Price Index,2020-08-01,2.1,Monthly,Mountain,Consumer Price Index
470,Montana,Consumer Price Index,2020-08-01,2.1,Monthly,Mountain,Consumer Price Index
471,New Mexico,Consumer Price Index,2020-08-01,2.1,Monthly,Mountain,Consumer Price Index
472,Nevada,Consumer Price Index,2020-08-01,2.1,Monthly,Mountain,Consumer Price Index
473,Utah,Consumer Price Index,2020-08-01,2.1,Monthly,Mountain,Consumer Price Index
474,Wyoming,Consumer Price Index,2020-08-01,2.1,Monthly,Mountain,Consumer Price Index
475,Arizona,Consumer Price Index,2020-09-01,1.8,Monthly,Mountain,Consumer Price Index
476,Colorado,Consumer Price Index,2020-09-01,1.8,Monthly,Mountain,Consumer Price Index
477,Idaho,Consumer Price Index,2020-09-01,1.8,Monthly,Mountain,Consumer Price Index
478,Montana,Consumer Price Index,2020-09-01,1.8,Monthly,Mountain,Consumer Price Index
479,New Mexico,Consumer Price Index,2020-09-01,1.8,Monthly,Mountain,Consumer Price Index
480,Nevada,Consumer Price Index,2020-09-01,1.8,Monthly,Mountain,Consumer Price Index
481,Utah,Consumer Price Index,2020-09-01,1.8,Monthly,Mountain,Consumer Price Index
482,Wyoming,Consumer Price Index,2020-09-01,1.8,Monthly,Mountain,Consumer Price Index
483,Arizona,Consumer Price Index,2020-10-01,1.3,Monthly,Mountain,Consumer Price Index
484,Colorado,Consumer Price Index,2020-10-01,1.3,Monthly,Mountain,Consumer Price Index
485,Idaho,Consumer Price Index,2020-10-01,1.3,Monthly,Mountain,Consumer Price Index
486,Montana,Consumer Price Index,2020-10-01,1.3,Monthly,Mountain,Consumer Price Index
487,New Mexico,Consumer Price Index,2020-10-01,1.3,Monthly,Mountain,Consumer Price Index
488,Nevada,Consumer Price Index,2020-10-01,1.3,Monthly,Mountain,Consumer Price Index
489,Utah,Consumer Price Index,2020-10-01,1.3,Monthly,Mountain,Consumer Price Index
490,Wyoming,Consumer Price Index,2020-10-01,1.3,Monthly,Mountain,Consumer Price Index
491,Arizona,Consumer Price Index,2020-11-01,1.3,Monthly,Mountain,Consumer Price Index
492,Colorado,Consumer Price Index,2020-11-01,1.3,Monthly,Mountain,Consumer Price Index
493,Idaho,Consumer Price Index,2020-11-01,1.3,Monthly,Mountain,Consumer Price Index
494,Montana,Consumer Price Index,2020-11-01,1.3,Monthly,Mountain,Consumer Price Index
495,New Mexico,Consumer Price Index,2020-11-01,1.3,Monthly,Mountain,Consumer Price Index
496,Nevada,Consumer Price Index,2020-11-01,1.3,Monthly,Mountain,Consumer Price Index
497,Utah,Consumer Price Index,2020-11-01,1.3,Monthly,Mountain,Consumer Price Index
498,Wyoming,Consumer Price Index,2020-11-01,1.3,Monthly,Mountain,Consumer Price Index
499,Arizona,Consumer Price Index,2020-12-01,1.0,Monthly,Mountain,Consumer Price Index
500,Colorado,Consumer Price Index,2020-12-01,1.0,Monthly,Mountain,Consumer Price Index
501,Idaho,Consumer Price Index,2020-12-01,1.0,Monthly,Mountain,Consumer Price Index
502,Montana,Consumer Price Index,2020-12-01,1.0,Monthly,Mountain,Consumer Price Index
503,New Mexico,Consumer Price Index,2020-12-01,1.0,Monthly,Mountain,Consumer Price Index
504,Nevada,Consumer Price Index,2020-12-01,1.0,Monthly,Mountain,Consumer Price Index
505,Utah,Consumer Price Index,2020-12-01,1.0,Monthly,Mountain,Consumer Price Index
506,Wyoming,Consumer Price Index,2020-12-01,1.0,Monthly,Mountain,Consumer Price Index
507,Arizona,Consumer Price Index,2021-01-01,1.2,Monthly,Mountain,Consumer Price Index
508,Colorado,Consumer Price Index,2021-01-01,1.2,Monthly,Mountain,Consumer Price Index
509,Idaho,Consumer Price Index,2021-01-01,1.2,Monthly,Mountain,Consumer Price Index
510,Montana,Consumer Price Index,2021-01-01,1.2,Monthly,Mountain,Consumer Price Index
511,New Mexico,Consumer Price Index,2021-01-01,1.2,Monthly,Mountain,Consumer Price Index
512,Nevada,Consumer Price Index,2021-01-01,1.2,Monthly,Mountain,Consumer Price Index
513,Utah,Consumer Price Index,2021-01-01,1.2,Monthly,Mountain,Consumer Price Index
514,Wyoming,Consumer Price Index,2021-01-01,1.2,Monthly,Mountain,Consumer Price Index
515,Arizona,Consumer Price Index,2021-02-01,1.5,Monthly,Mountain,Consumer Price Index
516,Colorado,Consumer Price Index,2021-02-01,1.5,Monthly,Mountain,Consumer Price Index
517,Idaho,Consumer Price Index,2021-02-01,1.5,Monthly,Mountain,Consumer Price Index
518,Montana,Consumer Price Index,2021-02-01,1.5,Monthly,Mountain,Consumer Price Index
519,New Mexico,Consumer Price Index,2021-02-01,1.5,Monthly,Mountain,Consumer Price Index
520,Nevada,Consumer Price Index,2021-02-01,1.5,Monthly,Mountain,Consumer Price Index
521,Utah,Consumer Price Index,2021-02-01,1.5,Monthly,Mountain,Consumer Price Index
522,Wyoming,Consumer Price Index,2021-02-01,1.5,Monthly,Mountain,Consumer Price Index
523,Arizona,Consumer Price Index,2021-03-01,2.5,Monthly,Mountain,Consumer Price Index
524,Colorado,Consumer Price Index,2021-03-01,2.5,Monthly,Mountain,Consumer Price Index
525,Idaho,Consumer Price Index,2021-03-01,2.5,Monthly,Mountain,Consumer Price Index
526,Montana,Consumer Price Index,2021-03-01,2.5,Monthly,Mountain,Consumer Price Index
527,New Mexico,Consumer Price Index,2021-03-01,2.5,Monthly,Mountain,Consumer Price Index
528,Nevada,Consumer Price Index,2021-03-01,2.5,Monthly,Mountain,Consumer Price Index
529,Utah,Consumer Price Index,2021-03-01,2.5,Monthly,Mountain,Consumer Price Index
530,Wyoming,Consumer Price Index,2021-03-01,2.5,Monthly,Mountain,Consumer Price Index
531,Arizona,Consumer Price Index,2021-04-01,4.2,Monthly,Mountain,Consumer Price Index
532,Colorado,Consumer Price Index,2021-04-01,4.2,Monthly,Mountain,Consumer Price Index
533,Idaho,Consumer Price Index,2021-04-01,4.2,Monthly,Mountain,Consumer Price Index
534,Montana,Consumer Price Index,2021-04-01,4.2,Monthly,Mountain,Consumer Price Index
535,New Mexico,Consumer Price Index,2021-04-01,4.2,Monthly,Mountain,Consumer Price Index
536,Nevada,Consumer Price Index,2021-04-01,4.2,Monthly,Mountain,Consumer Price Index
537,Utah,Consumer Price Index,2021-04-01,4.2,Monthly,Mountain,Consumer Price Index
538,Wyoming,Consumer Price Index,2021-04-01,4.2,Monthly,Mountain,Consumer Price Index
539,Arizona,Consumer Price Index,2021-05-01,5.2,Monthly,Mountain,Consumer Price Index
540,Colorado,Consumer Price Index,2021-05-01,5.2,Monthly,Mountain,Consumer Price Index
541,Idaho,Consumer Price Index,2021-05-01,5.2,Monthly,Mountain,Consumer Price Index
542,Montana,Consumer Price Index,2021-05-01,5.2,Monthly,Mountain,Consumer Price Index
543,New Mexico,Consumer Price Index,2021-05-01,5.2,Monthly,Mountain,Consumer Price Index
544,Nevada,Consumer Price Index,2021-05-01,5.2,Monthly,Mountain,Consumer Price Index
545,Utah,Consumer Price Index,2021-05-01,5.2,Monthly,Mountain,Consumer Price Index
546,Wyoming,Consumer Price Index,2021-05-01,5.2,Monthly,Mountain,Consumer Price Index
547,Arizona,Consumer Price Index,2021-06-01,5.1,Monthly,Mountain,Consumer Price Index
548,Colorado,Consumer Price Index,2021-06-01,5.1,Monthly,Mountain,Consumer Price Index
549,Idaho,Consumer Price Index,2021-06-01,5.1,Monthly,Mountain,Consumer Price Index
550,Montana,Consumer Price Index,2021-06-01,5.1,Monthly,Mountain,Consumer Price Index
551,New Mexico,Consumer Price Index,2021-06-01,5.1,Monthly,Mountain,Consumer Price Index
552,Nevada,Consumer Price Index,2021-06-01,5.1,Monthly,Mountain,Consumer Price Index
553,Utah,Consumer Price Index,2021-06-01,5.1,Monthly,Mountain,Consumer Price Index
554,Wyoming,Consumer Price Index,2021-06-01,5.1,Monthly,Mountain,Consumer Price Index
555,Arizona,Consumer Price Index,2021-07-01,5.6,Monthly,Mountain,Consumer Price Index
556,Colorado,Consumer Price Index,2021-07-01,5.6,Monthly,Mountain,Consumer Price Index
557,Idaho,Consumer Price Index,2021-07-01,5.6,Monthly,Mountain,Consumer Price Index
558,Montana,Consumer Price Index,2021-07-01,5.6,Monthly,Mountain,Consumer Price Index
559,New Mexico,Consumer Price Index,2021-07-01,5.6,Monthly,Mountain,Consumer Price Index
560,Nevada,Consumer Price Index,2021-07-01,5.6,Monthly,Mountain,Consumer Price Index
561,Utah,Consumer Price Index,2021-07-01,5.6,Monthly,Mountain,Consumer Price Index
562,Wyoming,Consumer Price Index,2021-07-01,5.6,Monthly,Mountain,Consumer Price Index
563,Arizona,Consumer Price Index,2021-08-01,5.7,Monthly,Mountain,Consumer Price Index
564,Colorado,Consumer Price Index,2021-08-01,5.7,Monthly,Mountain,Consumer Price Index
565,Idaho,Consumer Price Index,2021-08-01,5.7,Monthly,Mountain,Consumer Price Index
566,Montana,Consumer Price Index,2021-08-01,5.7,Monthly,Mountain,Consumer Price Index
567,New Mexico,Consumer Price Index,2021-08-01,5.7,Monthly,Mountain,Consumer Price Index
568,Nevada,Consumer Price Index,2021-08-01,5.7,Monthly,Mountain,Consumer Price Index
569,Utah,Consumer Price Index,2021-08-01,5.7,Monthly,Mountain,Consumer Price Index
570,Wyoming,Consumer Price Index,2021-08-01,5.7,Monthly,Mountain,Consumer Price Index
571,Arizona,Consumer Price Index,2021-09-01,6.0,Monthly,Mountain,Consumer Price Index
572,Colorado,Consumer Price Index,2021-09-01,6.0,Monthly,Mountain,Consumer Price Index
573,Idaho,Consumer Price Index,2021-09-01,6.0,Monthly,Mountain,Consumer Price Index
574,Montana,Consumer Price Index,2021-09-01,6.0,Monthly,Mountain,Consumer Price Index
575,New Mexico,Consumer Price Index,2021-09-01,6.0,Monthly,Mountain,Consumer Price Index
576,Nevada,Consumer Price Index,2021-09-01,6.0,Monthly,Mountain,Consumer Price Index
577,Utah,Consumer Price Index,2021-09-01,6.0,Monthly,Mountain,Consumer Price Index
578,Wyoming,Consumer Price Index,2021-09-01,6.0,Monthly,Mountain,Consumer Price Index
579,Arizona,Consumer Price Index,2021-10-01,7.0,Monthly,Mountain,Consumer Price Index
580,Colorado,Consumer Price Index,2021-10-01,7.0,Monthly,Mountain,Consumer Price Index
581,Idaho,Consumer Price Index,2021-10-01,7.0,Monthly,Mountain,Consumer Price Index
582,Montana,Consumer Price Index,2021-10-01,7.0,Monthly,Mountain,Consumer Price Index
583,New Mexico,Consumer Price Index,2021-10-01,7.0,Monthly,Mountain,Consumer Price Index
584,Nevada,Consumer Price Index,2021-10-01,7.0,Monthly,Mountain,Consumer Price Index
585,Utah,Consumer Price Index,2021-10-01,7.0,Monthly,Mountain,Consumer Price Index
586,Wyoming,Consumer Price Index,2021-10-01,7.0,Monthly,Mountain,Consumer Price Index
587,Arizona,Consumer Price Index,2021-11-01,7.7,Monthly,Mountain,Consumer Price Index
588,Colorado,Consumer Price Index,2021-11-01,7.7,Monthly,Mountain,Consumer Price Index
